RegionID,SizeRank,RegionName,RegionType,StateName,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023
394887,630,"Mount Sterling, KY",msa,KY,,,,,,,,,,,,41,39,42,40,41,41,42,44,40,39,39,41,40,41,39,40,42,44,45,44,44,43,44,47,48,45,39,38,39,42,42,43,41,40,39,40,40,41,39,38,37,38,39,39,38,38,38,38,38,36,34,34,36,39,40,38,38
394477,631,"Clinton, IA",msa,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,46,46,43,43,44,44,42,42,38,37,38,40,42,40,42,43,43,41,40,38,38,39,40,39,39,38,37,37,36,37,37,35,36,35,34,34,36,40,40,38,38,39
394987,635,"Plymouth, IN",msa,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,32,31,33,33,30,28,23
394379,637,"Bemidji, MN",msa,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,39,40,37,37,36,36,34
394377,638,"Bellefontaine, OH",msa,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,36,35,36,32,34,33,36,36
395087,639,"Seymour, IN",msa,IN,,,,,,,,,,,,,,,,,,,,,,,,38,37,37,38,40,38,38,38,37,38,40,41,41,40,41,39,38,38,38,38,34,33,33,36,35,37,36,35,34,32,33,32,30,30,30,31,30,31,30,30,30,31,31,31,31
394500,644,"Cornelia, GA",msa,GA,34,30,31,32,33,33,32,31,32,31,33,31,32,31,33,34,35,34,34,34,34,35,35,35,34,33,33,34,35,35,35,35,37,38,39,36,35,35,35,35,34,35,36,36,34,33,32,32,32,31,31,29,30,29,31,29,29,27,26,28,28,28,27,30,32,32,31,30
753889,645,"Hillsdale, MI",msa,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,31,28,30,28,31,28,28,25
394427,649,"Burlington, IA",msa,IA,,,,,,,,,,,,,,,,,,,,,,,,,26,31,36,,39,36,32,29,29,28,30,30,30,31,33,35,37,36,35,36,34,32,34,37,39,35,36,37,35,35,33,37,37,36,34,33,34,36,38,40,41,41,41,39
786259,655,"Grand Rapids, MN",msa,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,30,32,32,33,34,35,35,34,34,34,34,33,33,34,34,34,33,33,32,32,31,32,33,32,32,33,33,33,30,31,29
