RegionID,SizeRank,RegionName,RegionType,StateName,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023
395160,93,"Toledo, OH",msa,OH,34,33,34,35,36,36,35,34,33,33,33,33,33,33,33,33,34,34,35,35,34,34,34,34,33,33,34,35,36,37,37,37,37,37,37,37,36,34,34,34,34,35,35,35,35,34,35,34,32,31,30,31,31,31,30,30,30,29,30,29,29,29,28,28,28,30,30,29
394549,95,"Durham, NC",msa,NC,37,35,35,36,36,36,36,36,36,36,37,36,36,34,35,36,36,36,35,35,36,36,38,37,37,37,38,38,37,37,37,37,37,37,37,36,35,33,33,34,34,33,32,32,32,33,33,33,32,31,30,31,31,31,32,32,32,32,33,32,32,31,32,32,32,32,31,31
394352,96,"Augusta, GA",msa,GA,,,,,,,,,42,39,26,21,19,23,25,21,22,24,30,31,30,30,31,31,32,32,34,34,35,35,35,36,36,35,36,36,35,35,35,36,36,35,35,35,34,34,34,33,32,32,32,33,32,32,32,31,31,30,30,30,30,30,31,32,32,31,31,30
394957,97,"Palm Bay, FL",msa,FL,31,32,33,34,34,34,33,32,32,31,30,29,30,31,33,34,34,34,34,34,34,33,32,32,31,32,32,32,32,33,30,31,31,35,36,35,34,34,34,34,34,33,33,33,33,32,33,33,32,31,31,31,31,31,31,31,31,30,30,30,30,30,31,31,31,31,31,31
394711,98,"Jackson, MS",msa,MS,31,31,32,34,34,34,33,34,34,35,35,34,34,33,34,36,36,35,35,34,34,34,34,34,33,34,35,37,38,38,39,40,40,40,40,39,39,39,39,39,39,39,38,37,36,36,37,36,36,35,35,35,35,35,34,33,33,33,33,32,33,33,34,35,35,34,33,33
394666,99,"Harrisburg, PA",msa,PA,37,36,36,38,39,40,39,39,38,38,38,37,37,38,39,40,40,39,39,39,40,39,40,40,40,40,44,,44,42,42,37,36,37,43,42,40,39,40,41,41,41,41,41,40,39,40,39,38,36,35,36,37,37,36,36,36,35,35,34,34,32,32,33,34,35,34,34
395113,100,"Spokane, WA",msa,WA,27,27,27,25,25,25,24,22,22,22,23,23,23,22,23,23,24,24,27,30,33,34,34,33,32,32,34,34,34,34,35,35,36,36,29,27,26,31,32,32,33,33,33,33,33,33,33,33,32,30,30,30,30,30,30,30,30,30,31,31,31,30,30,30,31,30,30,29
395075,101,"Scranton, PA",msa,PA,40,38,38,37,41,42,43,38,39,39,39,37,36,38,38,40,40,41,40,41,42,42,41,41,41,43,46,,49,49,46,49,49,51,52,47,44,42,44,47,48,48,45,44,36,34,35,43,44,42,42,43,43,41,40,41,41,39,39,37,37,36,37,38,39,39,38,38
394460,102,"Chattanooga, TN",msa,TN,32,32,33,34,34,33,32,32,33,32,33,32,32,31,32,32,32,32,32,32,32,32,32,33,32,33,33,34,34,34,35,35,35,35,36,35,34,33,33,34,34,35,34,34,34,34,35,34,33,32,32,31,31,31,30,30,30,30,30,30,30,30,30,31,31,30,30,30
394871,103,"Modesto, CA",msa,CA,31,30,31,31,32,32,32,31,31,31,31,31,30,30,30,31,32,33,33,32,32,32,33,32,32,32,33,33,33,34,35,35,35,35,34,33,32,31,31,31,30,31,31,31,31,31,31,30,29,28,28,28,28,28,28,28,28,28,28,28,28,27,28,28,29,28,27,27
394768,104,"Lancaster, PA",msa,PA,37,38,38,39,40,41,41,40,40,38,40,39,40,38,40,41,42,42,42,41,41,40,41,40,40,41,47,,46,42,43,40,39,38,43,42,41,40,40,41,42,42,41,41,40,40,40,39,38,37,37,37,37,38,38,38,37,37,37,37,36,34,34,35,35,35,35,35
394997,105,"Portland, ME",msa,ME,44,40,40,42,42,42,41,40,40,38,37,36,37,37,38,39,39,38,38,39,38,37,39,40,39,37,37,37,37,37,32,32,34,41,44,43,43,42,43,34,32,31,40,41,40,40,41,40,38,36,35,36,36,36,37,36,36,35,36,36,35,33,32,32,33,33,33,33
395245,106,"Youngstown, OH",msa,OH,21,21,21,21,21,21,21,20,20,19,18,19,20,20,21,21,22,21,22,22,23,23,24,25,27,29,31,,31,32,33,34,35,36,32,31,32,38,41,41,41,41,40,40,39,39,39,38,37,35,36,36,36,36,36,35,35,34,34,33,32,32,32,33,33,33,33,33
